rank,expert_id,name_zh,name_en,country_region,years,category,category_zh,category_en,concepts_zh,concepts_en,research_focus_zh,research_focus_en,representative_materials_zh,representative_materials_en,contribution_summary_zh,contribution_summary_en,bilingual_research_summary_zh,bilingual_research_summary_en,material_count,source_count,high_evidence_count,book_count,paper_article_count,evidence_profile_zh,evidence_profile_en,translation_status
87,joe-dinapoli,喬・迪納波利,Joe DiNapoli,United States,,indicator_specialist,指標專題專家,Indicator specialist,費波納契時間/價格（DiNapoli Levels）；支撐阻力（價格叢集）,Fibonacci Time and Price (DiNapoli Levels); Support and Resistance (price clusters),價格水平、通道、費波納契與支撐阻力；圖表型態、價格結構與支撐阻力,"price levels, channels, Fibonacci work, and support/resistance; chart patterns, price structure, and support/resistance",《DiNapoli 水平》（1998）；參考來源：https://www.amazon.com/DiNapoli-Levels-Practical-Application-Investment/dp/1891159046；參考來源：https://www.moneyshow.com/expert/2160spk/；參考來源：https://www.mql5.com/en/articles/3061,DiNapoli Levels (1998); Reference source: https://www.amazon.com/DiNapoli-Levels-Practical-Application-Investment/dp/1891159046; Reference source: https://www.moneyshow.com/expert/2160spk/; Reference source: https://www.mql5.com/en/articles/3061,DiNapoli Levels 是 Fibonacci 回撤/擴展的實戰化方法，常用於關鍵支撐阻力。,"Joe DiNapoli (喬・迪納波利) is classified as a Indicator specialist. The research/contribution focus is Fibonacci Time and Price (DiNapoli Levels); Support and Resistance (price clusters). Representative materials include DiNapoli Levels (1998); Reference source: https://www.amazon.com/DiNapoli-Levels-Practical-Application-Investment/dp/1891159046; Reference source: https://www.moneyshow.com/expert/2160spk/; Reference source: https://www.mql5.com/en/articles/3061. The work is useful for price levels, channels, Fibonacci work, and support/resistance; chart patterns, price structure, and support/resistance.",喬・迪納波利（Joe DiNapoli）定位為指標專題專家。研究/貢獻重點集中在費波納契時間/價格（DiNapoli Levels）；支撐阻力（價格叢集）。代表資料包括《DiNapoli 水平》（1998）；參考來源：https://www.amazon.com/DiNapoli-Levels-Practical-Application-Investment/dp/1891159046；參考來源：https://www.moneyshow.com/expert/2160spk/；參考來源：https://www.mql5.com/en/articles/3061。可用於價格水平、通道、費波納契與支撐阻力；圖表型態、價格結構與支撐阻力。,"Joe DiNapoli (喬・迪納波利) is classified as a Indicator specialist. The research/contribution focus is Fibonacci Time and Price (DiNapoli Levels); Support and Resistance (price clusters). Representative materials include DiNapoli Levels (1998); Reference source: https://www.amazon.com/DiNapoli-Levels-Practical-Application-Investment/dp/1891159046; Reference source: https://www.moneyshow.com/expert/2160spk/; Reference source: https://www.mql5.com/en/articles/3061. The work is useful for price levels, channels, Fibonacci work, and support/resistance; chart patterns, price structure, and support/resistance.",4,3,0,1,0,4 筆研究材料；3 個不同來源；0 筆高證據等級；書籍 1 筆；論文/文章 0 筆。,4 research materials; 3 distinct sources; 0 high-evidence records; 1 book records; 0 paper/article records.,normalized bilingual summary
88,alan-andrews,艾倫・安德魯斯,Alan Andrews,United States,,indicator_creator,技術指標創作者,Indicator creator,安德魯分叉線（創始者）；支撐阻力（中線/通道）；價格行為（擺動點）,Andrews' Pitchfork (creator); Support and Resistance (median lines/channels); Price Action (swing points),價格水平、通道、費波納契與支撐阻力；圖表型態、價格結構與支撐阻力,"price levels, channels, Fibonacci work, and support/resistance; chart patterns, price structure, and support/resistance",原文題名：Andrews' Pitchfork；參考來源：https://www.investopedia.com/articles/forex/05/andrewspitchfork.asp；參考來源：https://www.optuma.com/blog/pitchforks-part-1,Andrews' Pitchfork; Reference source: https://www.investopedia.com/articles/forex/05/andrewspitchfork.asp; Reference source: https://www.optuma.com/blog/pitchforks-part-1,Andrews' Pitchfork 以三點繪製中線與平行通道，是支撐阻力和趨勢通道工具。,"Alan Andrews (艾倫・安德魯斯) is classified as a Indicator creator. The research/contribution focus is Andrews' Pitchfork (creator); Support and Resistance (median lines/channels); Price Action (swing points). Representative materials include Andrews' Pitchfork; Reference source: https://www.investopedia.com/articles/forex/05/andrewspitchfork.asp; Reference source: https://www.optuma.com/blog/pitchforks-part-1. The work is useful for price levels, channels, Fibonacci work, and support/resistance; chart patterns, price structure, and support/resistance.",艾倫・安德魯斯（Alan Andrews）定位為技術指標創作者。研究/貢獻重點集中在安德魯分叉線（創始者）；支撐阻力（中線/通道）；價格行為（擺動點）。代表資料包括原文題名：Andrews' Pitchfork；參考來源：https://www.investopedia.com/articles/forex/05/andrewspitchfork.asp；參考來源：https://www.optuma.com/blog/pitchforks-part-1。可用於價格水平、通道、費波納契與支撐阻力；圖表型態、價格結構與支撐阻力。,"Alan Andrews (艾倫・安德魯斯) is classified as a Indicator creator. The research/contribution focus is Andrews' Pitchfork (creator); Support and Resistance (median lines/channels); Price Action (swing points). Representative materials include Andrews' Pitchfork; Reference source: https://www.investopedia.com/articles/forex/05/andrewspitchfork.asp; Reference source: https://www.optuma.com/blog/pitchforks-part-1. The work is useful for price levels, channels, Fibonacci work, and support/resistance; chart patterns, price structure, and support/resistance.",3,2,0,0,0,3 筆研究材料；2 個不同來源；0 筆高證據等級；書籍 0 筆；論文/文章 0 筆。,3 research materials; 2 distinct sources; 0 high-evidence records; 0 book records; 0 paper/article records.,normalized bilingual summary
89,arthur-a-merrill,亞瑟・梅里爾,Arthur A. Merrill,United States,1906-2006,author_researcher,著作與研究兼具,Author-researcher,圖表型態（M/W 型態）；週期分析（Filtered Waves）；回測與系統驗證（型態統計）,Chart Patterns (M/W patterns); Cycle Analysis (Filtered Waves); Backtesting (pattern statistics),圖表型態、價格結構與支撐阻力；週期、時間窗口與市場節奏判讀；實證檢驗、規則驗證與資料探勘風險控制,"chart patterns, price structure, and support/resistance; cycles, timing windows, and market rhythm; empirical testing, rule validation, and data-mining control",《華爾街價格行為》（1966）；《過濾波浪：基本理論》（1977）；參考來源：https://books.google.com/books/about/Behavior_of_Prices_on_Wall_Street.html?id=wEsUAQAAMAAJ；參考來源：https://openlibrary.org/books/OL5991950M/Behavior_of_prices_on_Wall_Street.,Behavior of Prices on Wall Street (1966); Filtered Waves: Basic Theory (1977); Reference source: https://books.google.com/books/about/Behavior_of_Prices_on_Wall_Street.html?id=wEsUAQAAMAAJ; Reference source: https://openlibrary.org/books/OL5991950M/Behavior_of_prices_on_Wall_Street.,以 M/W 型態與 Filtered Waves 著作聞名，是早期量化型圖表研究人物。,"Arthur A. Merrill (亞瑟・梅里爾) is classified as a Author-researcher. The research/contribution focus is Chart Patterns (M/W patterns); Cycle Analysis (Filtered Waves); Backtesting (pattern statistics). Representative materials include Behavior of Prices on Wall Street (1966); Filtered Waves: Basic Theory (1977); Reference source: https://books.google.com/books/about/Behavior_of_Prices_on_Wall_Street.html?id=wEsUAQAAMAAJ; Reference source: https://openlibrary.org/books/OL5991950M/Behavior_of_prices_on_Wall_Street.. The work is useful for chart patterns, price structure, and support/resistance; cycles, timing windows, and market rhythm; empirical testing, rule validation, and data-mining control.",亞瑟・梅里爾（Arthur A. Merrill）定位為著作與研究兼具。研究/貢獻重點集中在圖表型態（M/W 型態）；週期分析（Filtered Waves）；回測與系統驗證（型態統計）。代表資料包括《華爾街價格行為》（1966）；《過濾波浪：基本理論》（1977）；參考來源：https://books.google.com/books/about/Behavior_of_Prices_on_Wall_Street.html?id=wEsUAQAAMAAJ；參考來源：https://openlibrary.org/books/OL5991950M/Behavior_of_prices_on_Wall_Street.。可用於圖表型態、價格結構與支撐阻力；週期、時間窗口與市場節奏判讀；實證檢驗、規則驗證與資料探勘風險控制。,"Arthur A. Merrill (亞瑟・梅里爾) is classified as a Author-researcher. The research/contribution focus is Chart Patterns (M/W patterns); Cycle Analysis (Filtered Waves); Backtesting (pattern statistics). Representative materials include Behavior of Prices on Wall Street (1966); Filtered Waves: Basic Theory (1977); Reference source: https://books.google.com/books/about/Behavior_of_Prices_on_Wall_Street.html?id=wEsUAQAAMAAJ; Reference source: https://openlibrary.org/books/OL5991950M/Behavior_of_prices_on_Wall_Street.. The work is useful for chart patterns, price structure, and support/resistance; cycles, timing windows, and market rhythm; empirical testing, rule validation, and data-mining control.",5,3,2,2,0,5 筆研究材料；3 個不同來源；2 筆高證據等級；書籍 2 筆；論文/文章 0 筆。,5 research materials; 3 distinct sources; 2 high-evidence records; 2 book records; 0 paper/article records.,normalized bilingual summary
90,humphrey-b-neill,漢弗萊・尼爾,Humphrey B. Neill,United States,1895-1977,author,經典著作作者,Classic author,讀帶 / 盤口判讀（經典作者）；市場情緒（逆向思考）；價格行為（市場心理）,Tape Reading (classic author); Sentiment (contrarian thinking); Price Action (market psychology),圖表型態、價格結構與支撐阻力；市場情緒、逆向指標與群眾心理,"chart patterns, price structure, and support/resistance; sentiment, contrarian indicators, and crowd psychology",《讀帶與市場戰術》（1931）；《逆向思考的藝術》（1954）；參考來源：https://books.google.com/books/about/Tape_Reading_and_Market_Tactics.html?id=XuiREQAAQBAJ,Tape Reading and Market Tactics (1931); The Art of Contrary Thinking (1954); Reference source: https://books.google.com/books/about/Tape_Reading_and_Market_Tactics.html?id=XuiREQAAQBAJ,讀帶與逆向思考經典作者，適合情緒、盤口與早期技術分析文獻分類。,"Humphrey B. Neill (漢弗萊・尼爾) is classified as a Classic author. The research/contribution focus is Tape Reading (classic author); Sentiment (contrarian thinking); Price Action (market psychology). Representative materials include Tape Reading and Market Tactics (1931); The Art of Contrary Thinking (1954); Reference source: https://books.google.com/books/about/Tape_Reading_and_Market_Tactics.html?id=XuiREQAAQBAJ. The work is useful for chart patterns, price structure, and support/resistance; sentiment, contrarian indicators, and crowd psychology.",漢弗萊・尼爾（Humphrey B. Neill）定位為經典著作作者。研究/貢獻重點集中在讀帶 / 盤口判讀（經典作者）；市場情緒（逆向思考）；價格行為（市場心理）。代表資料包括《讀帶與市場戰術》（1931）；《逆向思考的藝術》（1954）；參考來源：https://books.google.com/books/about/Tape_Reading_and_Market_Tactics.html?id=XuiREQAAQBAJ。可用於圖表型態、價格結構與支撐阻力；市場情緒、逆向指標與群眾心理。,"Humphrey B. Neill (漢弗萊・尼爾) is classified as a Classic author. The research/contribution focus is Tape Reading (classic author); Sentiment (contrarian thinking); Price Action (market psychology). Representative materials include Tape Reading and Market Tactics (1931); The Art of Contrary Thinking (1954); Reference source: https://books.google.com/books/about/Tape_Reading_and_Market_Tactics.html?id=XuiREQAAQBAJ. The work is useful for chart patterns, price structure, and support/resistance; sentiment, contrarian indicators, and crowd psychology.",3,2,2,2,0,3 筆研究材料；2 個不同來源；2 筆高證據等級；書籍 2 筆；論文/文章 0 筆。,3 research materials; 2 distinct sources; 2 high-evidence records; 2 book records; 0 paper/article records.,normalized bilingual summary
91,walter-deemer,華特・迪默,Walter Deemer,United States,,practitioner_author,實戰交易者兼作者,Practitioner-author,趨勢跟隨（市場時機）；市場寬度（市場備忘錄）；市場情緒（市場心理）,Trend Following (market timing); Market Breadth (market memos); Sentiment (market psychology),趨勢辨識、均線、通道與趨勢跟隨；市場寬度、內部強弱與指數健康度判讀；市場情緒、逆向指標與群眾心理,"trend identification, moving averages, channels, and trend following; market breadth, internal strength, and index health; sentiment, contrarian indicators, and crowd psychology",原文題名：Market Memos（1966）；《迪默談技術分析》（2012）；參考來源：https://deemermarketmemos.com/；參考來源：https://www.walterdeemer.com/,Market Memos (1966); Deemer on Technical Analysis (2012); Reference source: https://deemermarketmemos.com/; Reference source: https://www.walterdeemer.com/,長期市場技術分析師，著作與 Market Memos 檔案適合作為近代市場評論文獻。,"Walter Deemer (華特・迪默) is classified as a Practitioner-author. The research/contribution focus is Trend Following (market timing); Market Breadth (market memos); Sentiment (market psychology). Representative materials include Market Memos (1966); Deemer on Technical Analysis (2012); Reference source: https://deemermarketmemos.com/; Reference source: https://www.walterdeemer.com/. The work is useful for trend identification, moving averages, channels, and trend following; market breadth, internal strength, and index health; sentiment, contrarian indicators, and crowd psychology.",華特・迪默（Walter Deemer）定位為實戰交易者兼作者。研究/貢獻重點集中在趨勢跟隨（市場時機）；市場寬度（市場備忘錄）；市場情緒（市場心理）。代表資料包括原文題名：Market Memos（1966）；《迪默談技術分析》（2012）；參考來源：https://deemermarketmemos.com/；參考來源：https://www.walterdeemer.com/。可用於趨勢辨識、均線、通道與趨勢跟隨；市場寬度、內部強弱與指數健康度判讀；市場情緒、逆向指標與群眾心理。,"Walter Deemer (華特・迪默) is classified as a Practitioner-author. The research/contribution focus is Trend Following (market timing); Market Breadth (market memos); Sentiment (market psychology). Representative materials include Market Memos (1966); Deemer on Technical Analysis (2012); Reference source: https://deemermarketmemos.com/; Reference source: https://www.walterdeemer.com/. The work is useful for trend identification, moving averages, channels, and trend following; market breadth, internal strength, and index health; sentiment, contrarian indicators, and crowd psychology.",4,3,1,1,0,4 筆研究材料；3 個不同來源；1 筆高證據等級；書籍 1 筆；論文/文章 0 筆。,4 research materials; 3 distinct sources; 1 high-evidence records; 1 book records; 0 paper/article records.,normalized bilingual summary
92,ned-davis,內德・戴維斯,Ned Davis,United States,,researcher,技術研究者,Technical researcher,市場寬度（市場指標）；市場情緒（情緒模型）；實證技術分析（量化市場研究）,Market Breadth (market indicators); Sentiment (sentiment models); Evidence-Based Technical Analysis (quantitative market research),市場寬度、內部強弱與指數健康度判讀；市場情緒、逆向指標與群眾心理；實證檢驗、規則驗證與資料探勘風險控制,"market breadth, internal strength, and index health; sentiment, contrarian indicators, and crowd psychology; empirical testing, rule validation, and data-mining control",《做對判斷或賺到錢》（1991）；《研究驅動型投資者》（2000）；參考來源：https://books.google.com/books/about/Being_Right_or_Making_Money.html?id=wLhYBQAAQBAJ；參考來源：https://info.ndr.com/ndr-signals,Being Right or Making Money (1991); The Research Driven Investor (2000); Reference source: https://books.google.com/books/about/Being_Right_or_Making_Money.html?id=wLhYBQAAQBAJ; Reference source: https://info.ndr.com/ndr-signals,Ned Davis Research 長期以廣度、情緒、總體與技術模型做市場研究，適合指標集合與量化研究分類。,"Ned Davis (內德・戴維斯) is classified as a Technical researcher. The research/contribution focus is Market Breadth (market indicators); Sentiment (sentiment models); Evidence-Based Technical Analysis (quantitative market research). Representative materials include Being Right or Making Money (1991); The Research Driven Investor (2000); Reference source: https://books.google.com/books/about/Being_Right_or_Making_Money.html?id=wLhYBQAAQBAJ; Reference source: https://info.ndr.com/ndr-signals. The work is useful for market breadth, internal strength, and index health; sentiment, contrarian indicators, and crowd psychology; empirical testing, rule validation, and data-mining control.",內德・戴維斯（Ned Davis）定位為技術研究者。研究/貢獻重點集中在市場寬度（市場指標）；市場情緒（情緒模型）；實證技術分析（量化市場研究）。代表資料包括《做對判斷或賺到錢》（1991）；《研究驅動型投資者》（2000）；參考來源：https://books.google.com/books/about/Being_Right_or_Making_Money.html?id=wLhYBQAAQBAJ；參考來源：https://info.ndr.com/ndr-signals。可用於市場寬度、內部強弱與指數健康度判讀；市場情緒、逆向指標與群眾心理；實證檢驗、規則驗證與資料探勘風險控制。,"Ned Davis (內德・戴維斯) is classified as a Technical researcher. The research/contribution focus is Market Breadth (market indicators); Sentiment (sentiment models); Evidence-Based Technical Analysis (quantitative market research). Representative materials include Being Right or Making Money (1991); The Research Driven Investor (2000); Reference source: https://books.google.com/books/about/Being_Right_or_Making_Money.html?id=wLhYBQAAQBAJ; Reference source: https://info.ndr.com/ndr-signals. The work is useful for market breadth, internal strength, and index health; sentiment, contrarian indicators, and crowd psychology; empirical testing, rule validation, and data-mining control.",6,4,0,2,0,6 筆研究材料；4 個不同來源；0 筆高證據等級；書籍 2 筆；論文/文章 0 筆。,6 research materials; 4 distinct sources; 0 high-evidence records; 2 book records; 0 paper/article records.,normalized bilingual summary
93,jason-goepfert,傑森・戈普弗特,Jason Goepfert,United States,,researcher,技術研究者,Technical researcher,市場情緒（情緒指標）；市場寬度（基金現金/市場指標）；實證技術分析（歷史統計）,Sentiment (sentiment indicators); Market Breadth (mutual-fund cash / market indicators); Evidence-Based Technical Analysis (historical statistics),市場情緒、逆向指標與群眾心理；市場寬度、內部強弱與指數健康度判讀；實證檢驗、規則驗證與資料探勘風險控制,"sentiment, contrarian indicators, and crowd psychology; market breadth, internal strength, and index health; empirical testing, rule validation, and data-mining control","原文題名：Mutual Fund Cash Reserves, The Risk-Free Rate, and Stock Market Performance（2004）；參考來源：https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/","Mutual Fund Cash Reserves, The Risk-Free Rate, and Stock Market Performance (2004); Reference source: https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/",2004 Charles H. Dow Award 得主，長期研究投資人情緒與市場統計。,"Jason Goepfert (傑森・戈普弗特) is classified as a Technical researcher. The research/contribution focus is Sentiment (sentiment indicators); Market Breadth (mutual-fund cash / market indicators); Evidence-Based Technical Analysis (historical statistics). Representative materials include Mutual Fund Cash Reserves, The Risk-Free Rate, and Stock Market Performance (2004); Reference source: https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/. The work is useful for sentiment, contrarian indicators, and crowd psychology; market breadth, internal strength, and index health; empirical testing, rule validation, and data-mining control.","傑森・戈普弗特（Jason Goepfert）定位為技術研究者。研究/貢獻重點集中在市場情緒（情緒指標）；市場寬度（基金現金/市場指標）；實證技術分析（歷史統計）。代表資料包括原文題名：Mutual Fund Cash Reserves, The Risk-Free Rate, and Stock Market Performance（2004）；參考來源：https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/。可用於市場情緒、逆向指標與群眾心理；市場寬度、內部強弱與指數健康度判讀；實證檢驗、規則驗證與資料探勘風險控制。","Jason Goepfert (傑森・戈普弗特) is classified as a Technical researcher. The research/contribution focus is Sentiment (sentiment indicators); Market Breadth (mutual-fund cash / market indicators); Evidence-Based Technical Analysis (historical statistics). Representative materials include Mutual Fund Cash Reserves, The Risk-Free Rate, and Stock Market Performance (2004); Reference source: https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/. The work is useful for sentiment, contrarian indicators, and crowd psychology; market breadth, internal strength, and index health; empirical testing, rule validation, and data-mining control.",2,2,2,0,1,2 筆研究材料；2 個不同來源；2 筆高證據等級；書籍 0 筆；論文/文章 1 筆。,2 research materials; 2 distinct sources; 2 high-evidence records; 0 book records; 1 paper/article records.,normalized bilingual summary
94,buff-dormeier,巴夫・多米爾,Buff Dormeier,United States,,researcher_author,研究者兼作者,Researcher-author,成交量分析（量價研究）；市場寬度（成交量廣度）；實證技術分析（Dow Award 研究）,Volume Analysis (price-volume research); Market Breadth (volume breadth); Evidence-Based Technical Analysis (Dow Award research),量價關係、資金流與供需分析；市場寬度、內部強弱與指數健康度判讀；實證檢驗、規則驗證與資料探勘風險控制,"price-volume relationships, money flow, and supply/demand; market breadth, internal strength, and index health; empirical testing, rule validation, and data-mining control",原文題名：Price and Volume: Digging Deeper（2007）；《成交量分析投資法》（2011）；參考來源：https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/,Price and Volume: Digging Deeper (2007); Investing with Volume Analysis (2011); Reference source: https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/,2007 Charles H. Dow Award 得主，量價與成交量分析著作具資料庫價值。,"Buff Dormeier (巴夫・多米爾) is classified as a Researcher-author. The research/contribution focus is Volume Analysis (price-volume research); Market Breadth (volume breadth); Evidence-Based Technical Analysis (Dow Award research). Representative materials include Price and Volume: Digging Deeper (2007); Investing with Volume Analysis (2011); Reference source: https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/. The work is useful for price-volume relationships, money flow, and supply/demand; market breadth, internal strength, and index health; empirical testing, rule validation, and data-mining control.",巴夫・多米爾（Buff Dormeier）定位為研究者兼作者。研究/貢獻重點集中在成交量分析（量價研究）；市場寬度（成交量廣度）；實證技術分析（Dow Award 研究）。代表資料包括原文題名：Price and Volume: Digging Deeper（2007）；《成交量分析投資法》（2011）；參考來源：https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/。可用於量價關係、資金流與供需分析；市場寬度、內部強弱與指數健康度判讀；實證檢驗、規則驗證與資料探勘風險控制。,"Buff Dormeier (巴夫・多米爾) is classified as a Researcher-author. The research/contribution focus is Volume Analysis (price-volume research); Market Breadth (volume breadth); Evidence-Based Technical Analysis (Dow Award research). Representative materials include Price and Volume: Digging Deeper (2007); Investing with Volume Analysis (2011); Reference source: https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/. The work is useful for price-volume relationships, money flow, and supply/demand; market breadth, internal strength, and index health; empirical testing, rule validation, and data-mining control.",3,3,3,1,1,3 筆研究材料；3 個不同來源；3 筆高證據等級；書籍 1 筆；論文/文章 1 筆。,3 research materials; 3 distinct sources; 3 high-evidence records; 1 book records; 1 paper/article records.,normalized bilingual summary
95,andrew-thrasher,安德魯・思拉舍,Andrew Thrasher,United States,,researcher,技術研究者,Technical researcher,波動率（波動/風險）；市場情緒（市場警訊）；市場寬度（市場健康）,Volatility (volatility/risk); Sentiment (market warning signals); Market Breadth (market health),波動率、通道寬度與風險環境；市場情緒、逆向指標與群眾心理；市場寬度、內部強弱與指數健康度判讀,"volatility, channel width, and risk regimes; sentiment, contrarian indicators, and crowd psychology; market breadth, internal strength, and index health",原文題名：Forecasting a Volatility Tsunami（2017）；原文題名：The 5% Canary（2023）；參考來源：https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/,Forecasting a Volatility Tsunami (2017); The 5% Canary (2023); Reference source: https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/,兩度 Charles H. Dow Award 相關得主/研究者，波動率與市場風險研究值得收錄。,"Andrew Thrasher (安德魯・思拉舍) is classified as a Technical researcher. The research/contribution focus is Volatility (volatility/risk); Sentiment (market warning signals); Market Breadth (market health). Representative materials include Forecasting a Volatility Tsunami (2017); The 5% Canary (2023); Reference source: https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/. The work is useful for volatility, channel width, and risk regimes; sentiment, contrarian indicators, and crowd psychology; market breadth, internal strength, and index health.",安德魯・思拉舍（Andrew Thrasher）定位為技術研究者。研究/貢獻重點集中在波動率（波動/風險）；市場情緒（市場警訊）；市場寬度（市場健康）。代表資料包括原文題名：Forecasting a Volatility Tsunami（2017）；原文題名：The 5% Canary（2023）；參考來源：https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/。可用於波動率、通道寬度與風險環境；市場情緒、逆向指標與群眾心理；市場寬度、內部強弱與指數健康度判讀。,"Andrew Thrasher (安德魯・思拉舍) is classified as a Technical researcher. The research/contribution focus is Volatility (volatility/risk); Sentiment (market warning signals); Market Breadth (market health). Representative materials include Forecasting a Volatility Tsunami (2017); The 5% Canary (2023); Reference source: https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/. The work is useful for volatility, channel width, and risk regimes; sentiment, contrarian indicators, and crowd psychology; market breadth, internal strength, and index health.",3,3,3,0,2,3 筆研究材料；3 個不同來源；3 筆高證據等級；書籍 0 筆；論文/文章 2 筆。,3 research materials; 3 distinct sources; 3 high-evidence records; 0 book records; 2 paper/article records.,normalized bilingual summary
96,alex-spiroglou,亞歷克斯・斯皮羅格魯,Alex Spiroglou,Greece / United Kingdom,,researcher,技術研究者,Technical researcher,MACD（MACD-V）；波動率（波動標準化動量）；動量（動量研究）,Moving Average Convergence/Divergence (MACD-V); Volatility (volatility-normalized momentum); Momentum (momentum research),動量、超買超賣、背離與趨勢強弱；波動率、通道寬度與風險環境,"momentum, overbought/oversold conditions, divergence, and trend strength; volatility, channel width, and risk regimes",原文題名：MACD-V: Volatility Normalised Momentum（2022）；參考來源：https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/,MACD-V: Volatility Normalised Momentum (2022); Reference source: https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/,2022 Charles H. Dow Award 得主，將 MACD 轉為波動標準化動量框架。,"Alex Spiroglou (亞歷克斯・斯皮羅格魯) is classified as a Technical researcher. The research/contribution focus is Moving Average Convergence/Divergence (MACD-V); Volatility (volatility-normalized momentum); Momentum (momentum research). Representative materials include MACD-V: Volatility Normalised Momentum (2022); Reference source: https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/. The work is useful for momentum, overbought/oversold conditions, divergence, and trend strength; volatility, channel width, and risk regimes.",亞歷克斯・斯皮羅格魯（Alex Spiroglou）定位為技術研究者。研究/貢獻重點集中在MACD（MACD-V）；波動率（波動標準化動量）；動量（動量研究）。代表資料包括原文題名：MACD-V: Volatility Normalised Momentum（2022）；參考來源：https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/。可用於動量、超買超賣、背離與趨勢強弱；波動率、通道寬度與風險環境。,"Alex Spiroglou (亞歷克斯・斯皮羅格魯) is classified as a Technical researcher. The research/contribution focus is Moving Average Convergence/Divergence (MACD-V); Volatility (volatility-normalized momentum); Momentum (momentum research). Representative materials include MACD-V: Volatility Normalised Momentum (2022); Reference source: https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/. The work is useful for momentum, overbought/oversold conditions, divergence, and trend strength; volatility, channel width, and risk regimes.",2,2,2,0,1,2 筆研究材料；2 個不同來源；2 筆高證據等級；書籍 0 筆；論文/文章 1 筆。,2 research materials; 2 distinct sources; 2 high-evidence records; 0 book records; 1 paper/article records.,normalized bilingual summary
97,ralph-vince,拉爾夫・文斯,Ralph Vince,United States,,researcher_author,研究者兼作者,Researcher-author,市場寬度（新低數研究）；交易系統（資金管理）；實證技術分析（統計研究）,Market Breadth (new-lows research); Trading Systems (money management); Evidence-Based Technical Analysis (statistical research),市場寬度、內部強弱與指數健康度判讀；系統交易、規則設計與回測流程；實證檢驗、規則驗證與資料探勘風險控制,"market breadth, internal strength, and index health; systematic trading, rule design, and backtesting; empirical testing, rule validation, and data-mining control",《資金管理數學》（1992）；原文題名：The Ripple Effect of Daily New Lows（2024）；參考來源：https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/,The Mathematics of Money Management (1992); The Ripple Effect of Daily New Lows (2024); Reference source: https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/,資金管理與風險數學作者，2024 Dow Award 研究把每日新低數作為市場廣度訊號。,"Ralph Vince (拉爾夫・文斯) is classified as a Researcher-author. The research/contribution focus is Market Breadth (new-lows research); Trading Systems (money management); Evidence-Based Technical Analysis (statistical research). Representative materials include The Mathematics of Money Management (1992); The Ripple Effect of Daily New Lows (2024); Reference source: https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/. The work is useful for market breadth, internal strength, and index health; systematic trading, rule design, and backtesting; empirical testing, rule validation, and data-mining control.",拉爾夫・文斯（Ralph Vince）定位為研究者兼作者。研究/貢獻重點集中在市場寬度（新低數研究）；交易系統（資金管理）；實證技術分析（統計研究）。代表資料包括《資金管理數學》（1992）；原文題名：The Ripple Effect of Daily New Lows（2024）；參考來源：https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/。可用於市場寬度、內部強弱與指數健康度判讀；系統交易、規則設計與回測流程；實證檢驗、規則驗證與資料探勘風險控制。,"Ralph Vince (拉爾夫・文斯) is classified as a Researcher-author. The research/contribution focus is Market Breadth (new-lows research); Trading Systems (money management); Evidence-Based Technical Analysis (statistical research). Representative materials include The Mathematics of Money Management (1992); The Ripple Effect of Daily New Lows (2024); Reference source: https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/. The work is useful for market breadth, internal strength, and index health; systematic trading, rule design, and backtesting; empirical testing, rule validation, and data-mining control.",3,3,3,1,1,3 筆研究材料；3 個不同來源；3 筆高證據等級；書籍 1 筆；論文/文章 1 筆。,3 research materials; 3 distinct sources; 3 high-evidence records; 1 book records; 1 paper/article records.,normalized bilingual summary
