concept_slug,concept_zh,concept_en,family,family_zh,family_en,expert_count,winner_zh,winner_en,runner_up_zh,runner_up_en,judgment_zh,judgment_en,all_experts_zh,all_experts_en,top_materials_zh,top_materials_en,material_count,integrated_use_zh,integrated_use_en
sentiment,市場情緒,Sentiment,sentiment,市場情緒,Sentiment,8,傑森・戈普弗特,Jason Goepfert,內德・戴維斯、艾德森・古爾德,Ned Davis / Edson Gould,傑森・戈普弗特優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為內德・戴維斯、艾德森・古爾德。,"Jason Goepfert wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Ned Davis / Edson Gould.",傑森・戈普弗特（情緒指標）；內德・戴維斯（情緒模型）；艾德森・古爾德（情緒/心理指標）；安德魯・思拉舍（市場警訊）；羅伯特・普萊切特（社會情緒與市場）；華特・迪默（市場心理）；保羅・德斯蒙德（市場底部）；漢弗萊・尼爾（逆向思考）,Jason Goepfert (sentiment indicators); Ned Davis (sentiment models); Edson Gould (sentiment/psychology indicators); Andrew Thrasher (market warning signals); Robert Prechter (social mood and markets); Walter Deemer (market psychology); Paul Desmond (market bottoms); Humphrey B. Neill (contrarian thinking),《艾略特波浪原理》 - 羅伯特・普萊切特；原文題名：Findings & Forecasts - 艾德森・古爾德；原文題名：Identifying Bear Market Bottoms and New Bull Markets - 保羅・德斯蒙德；《讀帶與市場戰術》 - 漢弗萊・尼爾；《逆向思考的藝術》 - 漢弗萊・尼爾；《迪默談技術分析》 - 華特・迪默,Elliott Wave Principle - Robert Prechter; Findings & Forecasts - Edson Gould; Identifying Bear Market Bottoms and New Bull Markets - Paul Desmond; Tape Reading and Market Tactics - Humphrey B. Neill; The Art of Contrary Thinking - Humphrey B. Neill; Deemer on Technical Analysis - Walter Deemer,12,市場情緒屬於市場情緒，優先研究傑森・戈普弗特，再用其他專家資料交叉驗證。,Sentiment belongs to Sentiment; start with Jason Goepfert and use other experts for cross-checking.
stage-analysis,四階段分析,Stage Analysis,trend,趨勢分析,Trend Analysis,1,史坦・溫斯坦,Stan Weinstein,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,史坦・溫斯坦是目前資料庫中唯一對應「四階段分析」的核心專家。,Stan Weinstein is the only expert currently mapped to Stage Analysis in this database.,史坦・溫斯坦（創始/推廣者）,Stan Weinstein (creator/promoter),《牛熊市場獲利祕訣》 - 史坦・溫斯坦,Secrets for Profiting in Bull and Bear Markets - Stan Weinstein,1,四階段分析屬於趨勢分析，優先研究史坦・溫斯坦，再用其他專家資料交叉驗證。,Stage Analysis belongs to Trend Analysis; start with Stan Weinstein and use other experts for cross-checking.
stochastic,隨機指標,Stochastic Oscillator,momentum,動量指標,Momentum,1,喬治・藍恩,George C. Lane,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,喬治・藍恩是目前資料庫中唯一對應「隨機指標」的核心專家。,George C. Lane is the only expert currently mapped to Stochastic Oscillator in this database.,喬治・藍恩（創始/推廣者）,George C. Lane (creator/promoter),原文題名：Lane's Stochastics - 喬治・藍恩,Lane's Stochastics - George C. Lane,1,隨機指標屬於動量指標，優先研究喬治・藍恩，再用其他專家資料交叉驗證。,Stochastic Oscillator belongs to Momentum; start with George C. Lane and use other experts for cross-checking.
stochastic-rsi,隨機 RSI,Stochastic RSI,momentum,動量指標,Momentum,2,圖沙・昌德,Tushar S. Chande,史丹利・克羅爾,Stanley Kroll,圖沙・昌德優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為史丹利・克羅爾。,"Tushar S. Chande wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Stanley Kroll.",圖沙・昌德（共同創始者）；史丹利・克羅爾（共同創始者）,Tushar S. Chande (co-creator); Stanley Kroll (co-creator),《新技術交易者》 - 圖沙・昌德；《新技術交易者》 - 史丹利・克羅爾,The New Technical Trader - Tushar S. Chande; The New Technical Trader - Stanley Kroll,2,隨機 RSI屬於動量指標，優先研究圖沙・昌德，再用其他專家資料交叉驗證。,Stochastic RSI belongs to Momentum; start with Tushar S. Chande and use other experts for cross-checking.
stock_selection,股票選股,Stock Selection,stock_selection,股票選股,Stock Selection,1,查爾斯・柯克派翠克二世,Charles D. Kirkpatrick II,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,查爾斯・柯克派翠克二世是目前資料庫中唯一對應「股票選股」的核心專家。,Charles D. Kirkpatrick II is the only expert currently mapped to Stock Selection in this database.,查爾斯・柯克派翠克二世（選股研究）,Charles D. Kirkpatrick II (stock-selection research),《技術分析：金融市場技術分析師完整資源》 - 查爾斯・柯克派翠克二世；原文題名：Stock Selection: A Test of Relative Stock Values Reported Over 17 1/2 Years - 查爾斯・柯克派翠克二世,Technical Analysis: The Complete Resource for Financial Market Technicians - Charles D. Kirkpatrick II; Stock Selection: A Test of Relative Stock Values Reported Over 17 1/2 Years - Charles D. Kirkpatrick II,2,股票選股屬於股票選股，優先研究查爾斯・柯克派翠克二世，再用其他專家資料交叉驗證。,Stock Selection belongs to Stock Selection; start with Charles D. Kirkpatrick II and use other experts for cross-checking.
supertrend,SuperTrend,SuperTrend,trend,趨勢分析,Trend Analysis,1,奧利維耶・塞班,Olivier Seban,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,奧利維耶・塞班是目前資料庫中唯一對應「SuperTrend」的核心專家。,Olivier Seban is the only expert currently mapped to SuperTrend in this database.,奧利維耶・塞班（創始者）,Olivier Seban (creator),原文題名：SuperTrend - 奧利維耶・塞班,SuperTrend - Olivier Seban,1,SuperTrend屬於趨勢分析，優先研究奧利維耶・塞班，再用其他專家資料交叉驗證。,SuperTrend belongs to Trend Analysis; start with Olivier Seban and use other experts for cross-checking.
support-resistance,支撐阻力,Support and Resistance,charting,圖表分析,Charting,12,羅伯特・愛德華茲、約翰・麥基,Robert D. Edwards / John Magee,威廉・江恩、彼得・史戴梅爾,W. D. Gann / J. Peter Steidlmayer,羅伯特・愛德華茲、約翰・麥基並列優勝；此指標/方法屬共同創作或共同權威，應並讀其資料。,Robert D. Edwards / John Magee are joint winners; this indicator/method is best treated as a shared authority.,羅伯特・愛德華茲（型態分析）；約翰・麥基（型態分析）；威廉・江恩（角度/價位）；彼得・史戴梅爾（價值區）；艾倫・安德魯斯（中線/通道）；喬・迪納波利（價格叢集）；馬克・費雪（Pivot range）；布萊恩・香農（市場結構）；理查・沙巴克（型態與趨勢線）；卡洛琳・波羅登（價格叢集）；路易絲・山田（長期底部/頂部）；維克多・斯佩蘭迪奧（趨勢線）,Robert D. Edwards (pattern analysis); John Magee (pattern analysis); W. D. Gann (angles/price levels); J. Peter Steidlmayer (value area); Alan Andrews (median lines/channels); Joe DiNapoli (price clusters); Mark B. Fisher (Pivot range); Brian Shannon (market structure); Richard W. Schabacker (patterns and trendlines); Carolyn Boroden (price clusters); Louise Yamada (long-term tops/bottoms); Victor Sperandeo (trendlines),《股市讀帶真相》 - 威廉・江恩；《華爾街四十五年》 - 威廉・江恩；《技術分析與股市獲利》 - 理查・沙巴克；《股票趨勢技術分析》 - 羅伯特・愛德華茲；《股票趨勢技術分析》 - 約翰・麥基；《市場魔法》 - 路易絲・山田,Truth of the Stock Tape - W. D. Gann; 45 Years in Wall Street - W. D. Gann; Technical Analysis and Stock Market Profits - Richard W. Schabacker; Technical Analysis of Stock Trends - Robert D. Edwards; Technical Analysis of Stock Trends - John Magee; Market Magic: Riding the Greatest Bull Market of the Century - Louise Yamada,15,支撐阻力屬於圖表分析，優先研究羅伯特・愛德華茲、約翰・麥基，再用其他專家資料交叉驗證。,Support and Resistance belongs to Charting; start with Robert D. Edwards / John Magee and use other experts for cross-checking.
systems-trading,交易系統,Trading Systems,systems,交易系統,Trading Systems,15,佩里・考夫曼,Perry J. Kaufman,拉倫斯・康納斯、約翰・艾勒斯,Laurence A. Connors / John F. Ehlers,佩里・考夫曼優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為拉倫斯・康納斯、約翰・艾勒斯。,"Perry J. Kaufman wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Laurence A. Connors / John F. Ehlers.",佩里・考夫曼（系統交易作者）；拉倫斯・康納斯（短線均值回歸）；約翰・艾勒斯（自適應指標）；史丹利・克羅爾（交易系統）；亞歷山大・艾爾德（Triple Screen）；拉爾夫・文斯（資金管理）；霍華德・班迪（交易系統）；傑克・施瓦格（交易方法整理）；穆雷・魯傑羅（交易系統）；羅伯特・帕多（交易系統）；格倫・尼利（波浪規則）；湯瑪斯・史翠茲曼（交易系統）；大衛・阿隆森（客觀規則）；漢克・普魯登（三大交易技能）；琳達・布拉德福德・拉什克（高勝率策略）,Perry J. Kaufman (systematic-trading author); Laurence A. Connors (short-term mean reversion); John F. Ehlers (adaptive indicators); Stanley Kroll (trading systems); Alexander Elder (Triple Screen); Ralph Vince (money management); Howard Bandy (trading systems); Jack D. Schwager (trading-method compilation); Murray A. Ruggiero Jr. (trading systems); Robert Pardo (trading systems); Glenn Neely (wave rules); Thomas Stridsman (trading systems); David Aronson (objective rules); Hank Pruden (three trading skills); Linda Bradford Raschke (high-probability strategies),《技術分析入門》 - 傑克・施瓦格；原文題名：Market Wizards - 傑克・施瓦格；《交易系統與方法》 - 佩里・考夫曼；《更聰明的交易》 - 佩里・考夫曼；《新技術交易者》 - 史丹利・克羅爾；《以交易為生》 - 亞歷山大・艾爾德,Getting Started in Technical Analysis - Jack D. Schwager; Market Wizards - Jack D. Schwager; Trading Systems and Methods - Perry J. Kaufman; Smarter Trading - Perry J. Kaufman; The New Technical Trader - Stanley Kroll; Trading for a Living - Alexander Elder,22,交易系統屬於交易系統，優先研究佩里・考夫曼，再用其他專家資料交叉驗證。,Trading Systems belongs to Trading Systems; start with Perry J. Kaufman and use other experts for cross-checking.
tape-reading,讀帶 / 盤口判讀,Tape Reading,charting,圖表分析,Charting,3,傑西・李佛摩,Jesse Livermore,理查・威科夫、漢弗萊・尼爾,Richard D. Wyckoff / Humphrey B. Neill,傑西・李佛摩優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為理查・威科夫、漢弗萊・尼爾。,"Jesse Livermore wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Richard D. Wyckoff / Humphrey B. Neill.",傑西・李佛摩（代表性實踐者）；理查・威科夫（讀帶）；漢弗萊・尼爾（經典作者）,Jesse Livermore (representative practitioner); Richard D. Wyckoff (tape reading); Humphrey B. Neill (classic author),《讀帶研究》 - 理查・威科夫；《我如何交易與投資股票和債券》 - 理查・威科夫；《如何交易股票》 - 傑西・李佛摩；《讀帶與市場戰術》 - 漢弗萊・尼爾；《逆向思考的藝術》 - 漢弗萊・尼爾,Studies in Tape Reading - Richard D. Wyckoff; How I Trade and Invest in Stocks and Bonds - Richard D. Wyckoff; How to Trade in Stocks - Jesse Livermore; Tape Reading and Market Tactics - Humphrey B. Neill; The Art of Contrary Thinking - Humphrey B. Neill,5,讀帶 / 盤口判讀屬於圖表分析，優先研究傑西・李佛摩，再用其他專家資料交叉驗證。,Tape Reading belongs to Charting; start with Jesse Livermore and use other experts for cross-checking.
tema-dema,DEMA / TEMA,Double/Triple Exponential Moving Average,trend,趨勢分析,Trend Analysis,1,派翠克・馬洛伊,Patrick G. Mulloy,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,派翠克・馬洛伊是目前資料庫中唯一對應「DEMA / TEMA」的核心專家。,Patrick G. Mulloy is the only expert currently mapped to Double/Triple Exponential Moving Average in this database.,派翠克・馬洛伊（創始者）,Patrick G. Mulloy (creator),原文題名：Smoothing Data with Faster Moving Averages - 派翠克・馬洛伊,Smoothing Data with Faster Moving Averages - Patrick G. Mulloy,1,DEMA / TEMA屬於趨勢分析，優先研究派翠克・馬洛伊，再用其他專家資料交叉驗證。,Double/Triple Exponential Moving Average belongs to Trend Analysis; start with Patrick G. Mulloy and use other experts for cross-checking.
trend-following,趨勢跟隨,Trend Following,trend,趨勢分析,Trend Analysis,20,理查・唐奇安,Richard Donchian,威廉・彼得・漢密爾頓、達利・古比,William Peter Hamilton / Daryl Guppy,理查・唐奇安優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為威廉・彼得・漢密爾頓、達利・古比。,"Richard Donchian wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: William Peter Hamilton / Daryl Guppy.",理查・唐奇安（趨勢跟隨先驅）；威廉・彼得・漢密爾頓（趨勢判讀）；達利・古比（趨勢判讀）；艾蒂安・博特斯（趨勢反轉）；道格拉斯・西普曼（趨勢反轉）；羅伯特・里亞（趨勢確認）；細田悟一（趨勢/支撐阻力）；查爾斯・道（早期趨勢概念）；艾德森・古爾德（長期市場判斷）；奧利維耶・塞班（趨勢跟隨）；蓋瑞・安東納奇（產業趨勢）；馬丁・普林格（趨勢判讀）；華特・迪默（市場時機）；湯瑪斯・史翠茲曼（系統化趨勢）；路易絲・山田（長期趨勢）；理查・羅素（市場趨勢）；尼古拉斯・達瓦斯（突破交易）；拉爾夫・阿坎波拉（市場歷史）；維克多・斯佩蘭迪奧（1-2-3 反轉）；傑西・李佛摩（趨勢交易）,Richard Donchian (trend-following pioneer); William Peter Hamilton (trend interpretation); Daryl Guppy (trend interpretation); Etienne Botes (trend reversal); Douglas Siepman (trend reversal); Robert Rhea (trend confirmation); Goichi Hosoda (trend and support/resistance); Charles H. Dow (early trend concept); Edson Gould (long-term market judgment); Olivier Seban (trend following); Gary Antonacci (industry trends); Martin J. Pring (trend interpretation); Walter Deemer (market timing); Thomas Stridsman (systematic trend analysis); Louise Yamada (long-term trend analysis); Richard Russell (market trend analysis); Nicolas Darvas (breakout trading); Ralph Acampora (market history); Victor Sperandeo (1-2-3 reversal); Jesse Livermore (trend trading),《華爾街日報》市場平均指數評論 - 查爾斯・道；《股票市場晴雨表》 - 威廉・彼得・漢密爾頓；《道氏理論》 - 羅伯特・里亞；《如何交易股票》 - 傑西・李佛摩；《技術分析詳解》 - 馬丁・普林格；原文題名：Commodity Trend Timing - 理查・唐奇安,Wall Street Journal editorials on market averages - Charles H. Dow; The Stock Market Barometer - William Peter Hamilton; The Dow Theory - Robert Rhea; How to Trade in Stocks - Jesse Livermore; Technical Analysis Explained - Martin J. Pring; Commodity Trend Timing - Richard Donchian,22,趨勢跟隨屬於趨勢分析，優先研究理查・唐奇安，再用其他專家資料交叉驗證。,Trend Following belongs to Trend Analysis; start with Richard Donchian and use other experts for cross-checking.
trin-arms-index,TRIN / Arms Index,Arms Index,breadth,市場寬度,Market Breadth,1,理查・阿姆斯,Richard W. Arms Jr.,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,理查・阿姆斯是目前資料庫中唯一對應「TRIN / Arms Index」的核心專家。,Richard W. Arms Jr. is the only expert currently mapped to Arms Index in this database.,理查・阿姆斯（創始者）,Richard W. Arms Jr. (creator),原文題名：The Arms Index - 理查・阿姆斯,The Arms Index - Richard W. Arms Jr.,1,TRIN / Arms Index屬於市場寬度，優先研究理查・阿姆斯，再用其他專家資料交叉驗證。,Arms Index belongs to Market Breadth; start with Richard W. Arms Jr. and use other experts for cross-checking.
trix,TRIX,Triple Exponential Average,momentum,動量指標,Momentum,1,傑克・哈特森,Jack K. Hutson,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,傑克・哈特森是目前資料庫中唯一對應「TRIX」的核心專家。,Jack K. Hutson is the only expert currently mapped to Triple Exponential Average in this database.,傑克・哈特森（創始者）,Jack K. Hutson (creator),原文題名：Good TRIX - 傑克・哈特森,Good TRIX - Jack K. Hutson,1,TRIX屬於動量指標，優先研究傑克・哈特森，再用其他專家資料交叉驗證。,Triple Exponential Average belongs to Momentum; start with Jack K. Hutson and use other experts for cross-checking.
ulcer-index,Ulcer Index,Ulcer Index,risk,風險與回撤,Risk and Drawdown,2,彼得・馬丁、拜倫・麥肯,Peter G. Martin / Byron McCann,共同核心專家；不另設補充角色,Joint core experts; no separate runner-up assigned,彼得・馬丁、拜倫・麥肯並列優勝；此指標/方法屬共同創作或共同權威，應並讀其資料。,Peter G. Martin / Byron McCann are joint winners; this indicator/method is best treated as a shared authority.,彼得・馬丁（共同創始者）；拜倫・麥肯（共同創始者）,Peter G. Martin (co-creator); Byron McCann (co-creator),《富達基金投資指南》 - 彼得・馬丁；《富達基金投資指南》 - 拜倫・麥肯,The Investor's Guide to Fidelity Funds - Peter G. Martin; The Investor's Guide to Fidelity Funds - Byron McCann,2,Ulcer Index屬於風險與回撤，優先研究彼得・馬丁、拜倫・麥肯，再用其他專家資料交叉驗證。,Ulcer Index belongs to Risk and Drawdown; start with Peter G. Martin / Byron McCann and use other experts for cross-checking.
vcp,VCP 波動收縮形態,Volatility Contraction Pattern,charting,圖表分析,Charting,1,馬克・米勒維尼,Mark Minervini,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,馬克・米勒維尼是目前資料庫中唯一對應「VCP 波動收縮形態」的核心專家。,Mark Minervini is the only expert currently mapped to Volatility Contraction Pattern in this database.,馬克・米勒維尼（創始/推廣者）,Mark Minervini (creator/promoter),《像股市魔法師一樣交易》 - 馬克・米勒維尼；《像冠軍一樣思考與交易》 - 馬克・米勒維尼,Trade Like a Stock Market Wizard - Mark Minervini; Think and Trade Like a Champion - Mark Minervini,2,VCP 波動收縮形態屬於圖表分析，優先研究馬克・米勒維尼，再用其他專家資料交叉驗證。,Volatility Contraction Pattern belongs to Charting; start with Mark Minervini and use other experts for cross-checking.
vidya,VIDYA 動態平均,Variable Index Dynamic Average,trend,趨勢分析,Trend Analysis,2,圖沙・昌德,Tushar S. Chande,史丹利・克羅爾,Stanley Kroll,圖沙・昌德優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為史丹利・克羅爾。,"Tushar S. Chande wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Stanley Kroll.",圖沙・昌德（創始者）；史丹利・克羅爾（共同作者）,Tushar S. Chande (creator); Stanley Kroll (co-author),《新技術交易者》 - 圖沙・昌德；《新技術交易者》 - 史丹利・克羅爾,The New Technical Trader - Tushar S. Chande; The New Technical Trader - Stanley Kroll,2,VIDYA 動態平均屬於趨勢分析，優先研究圖沙・昌德，再用其他專家資料交叉驗證。,Variable Index Dynamic Average belongs to Trend Analysis; start with Tushar S. Chande and use other experts for cross-checking.
volatility,波動率,Volatility,volatility,波動率,Volatility,4,約翰・布林格,John Bollinger,安德魯・思拉舍、亞歷克斯・斯皮羅格魯,Andrew Thrasher / Alex Spiroglou,約翰・布林格優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為安德魯・思拉舍、亞歷克斯・斯皮羅格魯。,"John Bollinger wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Andrew Thrasher / Alex Spiroglou.",約翰・布林格（波動通道）；安德魯・思拉舍（波動/風險）；亞歷克斯・斯皮羅格魯（波動標準化動量）；托比・克拉貝爾（波動擴張）,John Bollinger (volatility bands); Andrew Thrasher (volatility/risk); Alex Spiroglou (volatility-normalized momentum); Toby Crabel (volatility expansion),《布林格談布林通道》 - 約翰・布林格；《短線價格型態與開盤區間突破日內交易》 - 托比・克拉貝爾；原文題名：Forecasting a Volatility Tsunami - 安德魯・思拉舍；原文題名：The 5% Canary - 安德魯・思拉舍；原文題名：MACD-V: Volatility Normalised Momentum - 亞歷克斯・斯皮羅格魯,Bollinger on Bollinger Bands - John Bollinger; Day Trading with Short Term Price Patterns and Opening Range Breakout - Toby Crabel; Forecasting a Volatility Tsunami - Andrew Thrasher; The 5% Canary - Andrew Thrasher; MACD-V: Volatility Normalised Momentum - Alex Spiroglou,5,波動率屬於波動率，優先研究約翰・布林格，再用其他專家資料交叉驗證。,Volatility belongs to Volatility; start with John Bollinger and use other experts for cross-checking.
volume-analysis,成交量分析,Volume Analysis,volume,成交量與資金流,Volume and Money Flow,13,理查・威科夫,Richard D. Wyckoff,約瑟夫・格蘭維爾、巴夫・多米爾,Joseph Granville / Buff Dormeier,理查・威科夫優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為約瑟夫・格蘭維爾、巴夫・多米爾。,"Richard D. Wyckoff wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Joseph Granville / Buff Dormeier.",理查・威科夫（量價分析）；約瑟夫・格蘭維爾（量價分析）；巴夫・多米爾（量價研究）；彼得・史戴梅爾（價格時間分佈）；史蒂文・阿契利斯（百科作者）；馬克・柴金（量價/資金流）；理查・阿姆斯（成交量廣度）；金・匡（量價動量）；阿夫魯姆・蘇達克（量價動量）；湯姆・威廉斯（量價差）；漢克・普魯登（供需/量價）；史坦・溫斯坦（突破量能）；大衛・韋斯（Weis Wave）,Richard D. Wyckoff (price-volume analysis); Joseph Granville (price-volume analysis); Buff Dormeier (price-volume research); J. Peter Steidlmayer (time-price distribution); Steven B. Achelis (encyclopedia author); Marc Chaikin (price-volume / money-flow analysis); Richard W. Arms Jr. (volume breadth); Gene Quong (price-volume momentum); Avrum Soudack (price-volume momentum); Tom Williams (volume-spread analysis); Hank Pruden (supply/demand and price-volume work); Stan Weinstein (breakout volume); David Weis (Weis Wave),《讀帶研究》 - 理查・威科夫；《我如何交易與投資股票和債券》 - 理查・威科夫；《技術分析 A 到 Z》 - 史蒂文・阿契利斯；原文題名：Chaikin Money Flow - 馬克・柴金；《格蘭維爾股市獲利新鑰》 - 約瑟夫・格蘭維爾；原文題名：The Arms Index - 理查・阿姆斯,Studies in Tape Reading - Richard D. Wyckoff; How I Trade and Invest in Stocks and Bonds - Richard D. Wyckoff; Technical Analysis from A to Z - Steven B. Achelis; Chaikin Money Flow - Marc Chaikin; Granville's New Key to Stock Market Profits - Joseph Granville; The Arms Index - Richard W. Arms Jr.,16,成交量分析屬於成交量與資金流，優先研究理查・威科夫，再用其他專家資料交叉驗證。,Volume Analysis belongs to Volume and Money Flow; start with Richard D. Wyckoff and use other experts for cross-checking.
volume-spread-analysis,VSA 量價差分析,Volume Spread Analysis,volume,成交量與資金流,Volume and Money Flow,1,湯姆・威廉斯,Tom Williams,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,湯姆・威廉斯是目前資料庫中唯一對應「VSA 量價差分析」的核心專家。,Tom Williams is the only expert currently mapped to Volume Spread Analysis in this database.,湯姆・威廉斯（創始/推廣者）,Tom Williams (creator/promoter),《掌握市場》 - 湯姆・威廉斯,Master the Markets - Tom Williams,1,VSA 量價差分析屬於成交量與資金流，優先研究湯姆・威廉斯，再用其他專家資料交叉驗證。,Volume Spread Analysis belongs to Volume and Money Flow; start with Tom Williams and use other experts for cross-checking.
vortex-indicator,Vortex 指標,Vortex Indicator,trend,趨勢分析,Trend Analysis,2,艾蒂安・博特斯、道格拉斯・西普曼,Etienne Botes / Douglas Siepman,共同核心專家；不另設補充角色,Joint core experts; no separate runner-up assigned,艾蒂安・博特斯、道格拉斯・西普曼並列優勝；此指標/方法屬共同創作或共同權威，應並讀其資料。,Etienne Botes / Douglas Siepman are joint winners; this indicator/method is best treated as a shared authority.,艾蒂安・博特斯（共同創始者）；道格拉斯・西普曼（共同創始者）,Etienne Botes (co-creator); Douglas Siepman (co-creator),《Vortex 指標》 - 艾蒂安・博特斯；《Vortex 指標》 - 道格拉斯・西普曼,The Vortex Indicator - Etienne Botes; The Vortex Indicator - Douglas Siepman,2,Vortex 指標屬於趨勢分析，優先研究艾蒂安・博特斯、道格拉斯・西普曼，再用其他專家資料交叉驗證。,Vortex Indicator belongs to Trend Analysis; start with Etienne Botes / Douglas Siepman and use other experts for cross-checking.
vwap,VWAP / Anchored VWAP,VWAP / Anchored VWAP,volume,成交量與資金流,Volume and Money Flow,1,布萊恩・香農,Brian Shannon,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,布萊恩・香農是目前資料庫中唯一對應「VWAP / Anchored VWAP」的核心專家。,Brian Shannon is the only expert currently mapped to VWAP / Anchored VWAP in this database.,布萊恩・香農（Anchored VWAP 推廣者）,Brian Shannon (Anchored VWAP promoter),《多時間框架技術分析》 - 布萊恩・香農；《用 Anchored VWAP 提高交易收益》 - 布萊恩・香農,Technical Analysis Using Multiple Timeframes - Brian Shannon; Maximum Trading Gains with Anchored VWAP - Brian Shannon,2,VWAP / Anchored VWAP屬於成交量與資金流，優先研究布萊恩・香農，再用其他專家資料交叉驗證。,VWAP / Anchored VWAP belongs to Volume and Money Flow; start with Brian Shannon and use other experts for cross-checking.
williams-r,Williams %R,Williams %R,momentum,動量指標,Momentum,1,拉瑞・威廉斯,Larry Williams,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,拉瑞・威廉斯是目前資料庫中唯一對應「Williams %R」的核心專家。,Larry Williams is the only expert currently mapped to Williams %R in this database.,拉瑞・威廉斯（創始者）,Larry Williams (creator),《我去年如何交易商品賺進一百萬美元》 - 拉瑞・威廉斯；原文題名：The Ripple Effect of Daily New Lows - 拉瑞・威廉斯,How I Made One Million Dollars Last Year Trading Commodities - Larry Williams; The Ripple Effect of Daily New Lows - Larry Williams,2,Williams %R屬於動量指標，優先研究拉瑞・威廉斯，再用其他專家資料交叉驗證。,Williams %R belongs to Momentum; start with Larry Williams and use other experts for cross-checking.
wyckoff-method,威科夫方法,Wyckoff Method,volume,成交量與資金流,Volume and Money Flow,4,理查・威科夫,Richard D. Wyckoff,大衛・韋斯、漢克・普魯登,David Weis / Hank Pruden,理查・威科夫優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為大衛・韋斯、漢克・普魯登。,"Richard D. Wyckoff wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: David Weis / Hank Pruden.",理查・威科夫（創始者）；大衛・韋斯（現代改編者）；漢克・普魯登（教育者）；湯姆・威廉斯（威科夫衍生）,Richard D. Wyckoff (creator); David Weis (modern adapter); Hank Pruden (educator); Tom Williams (Wyckoff-derived method),《讀帶研究》 - 理查・威科夫；《我如何交易與投資股票和債券》 - 理查・威科夫；《頂尖交易的三項技能》 - 漢克・普魯登；《即將發生的交易》 - 大衛・韋斯；《掌握市場》 - 湯姆・威廉斯,Studies in Tape Reading - Richard D. Wyckoff; How I Trade and Invest in Stocks and Bonds - Richard D. Wyckoff; The Three Skills of Top Trading - Hank Pruden; Trades About to Happen - David Weis; Master the Markets - Tom Williams,5,威科夫方法屬於成交量與資金流，優先研究理查・威科夫，再用其他專家資料交叉驗證。,Wyckoff Method belongs to Volume and Money Flow; start with Richard D. Wyckoff and use other experts for cross-checking.
